YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 01 21 00 335  6.5  7.5 99.00 99.00 99.00 999 1019.4  16.9  15.4 999.0 99.0 99.00
2005 02 01 22 00 347  3.7  7.0 99.00 99.00 99.00 999 1019.5  16.6  15.7 999.0 99.0 99.00
2005 02 01 23 00 342  3.7  4.0 99.00 99.00 99.00 999 1020.4  16.6  15.8 999.0 99.0 99.00
2005 02 02 00 00  47  3.7  5.4 99.00 99.00 99.00 999 1021.0  19.6  15.8 999.0 99.0 99.00
2005 02 02 02 00  73  4.6  6.2 99.00 99.00 99.00 999 1022.3  17.6  15.8 999.0 99.0 99.00
2005 02 02 03 00  75  4.8  7.7 99.00 99.00 99.00 999 1023.0  17.0  15.8 999.0 99.0 99.00
2005 02 02 04 00  66  3.8  6.9 99.00 99.00 99.00 999 1023.1  16.0  15.8 999.0 99.0 99.00
2005 02 02 05 00  84  4.3  7.4 99.00 99.00 99.00 999 1022.8  15.0  16.0 999.0 99.0 99.00
2005 02 02 06 00  73  4.9  6.3 99.00 99.00 99.00 999 1022.2  13.9  15.9 999.0 99.0 99.00
2005 02 02 07 00  61  3.4  6.1 99.00 99.00 99.00 999 1021.9  13.3  15.5 999.0 99.0 99.00
2005 02 02 08 00  75  4.9  7.6 99.00 99.00 99.00 999 1021.7  13.2  15.4 999.0 99.0 99.00
2005 02 02 09 00  76  5.8  7.2 99.00 99.00 99.00 999 1021.1  12.9  15.4 999.0 99.0 99.00
2005 02 02 10 00  42  2.2  7.2 99.00 99.00 99.00 999 1021.7  12.7  15.5 999.0 99.0 99.00
2005 02 02 11 00  87  3.4  6.6 99.00 99.00 99.00 999 1021.2  12.9  15.3 999.0 99.0 99.00
2005 02 02 12 00  81  4.6  6.6 99.00 99.00 99.00 999 1021.5  13.2  15.3 999.0 99.0 99.00
2005 02 02 14 00  85  2.9  6.0 99.00 99.00 99.00 999 1022.1  14.7  15.2 999.0 99.0 99.00
2005 02 02 15 00 107  3.2  5.5 99.00 99.00 99.00 999 1022.5  16.1  15.3 999.0 99.0 99.00
2005 02 02 16 00 114  3.3  5.6 99.00 99.00 99.00 999 1022.3  18.2  15.3 999.0 99.0 99.00
2005 02 02 17 00 115  4.7  6.2 99.00 99.00 99.00 999 1021.6  19.3  15.3 999.0 99.0 99.00
2005 02 02 18 00 111  3.3  5.5 99.00 99.00 99.00 999 1020.8  20.7  15.3 999.0 99.0 99.00
2005 02 02 19 00 274  0.0  4.3 99.00 99.00 99.00 999 1020.7  20.8  15.3 999.0 99.0 99.00
2005 02 02 20 00 341  3.7  5.3 99.00 99.00 99.00 999 1021.2  16.9  15.4 999.0 99.0 99.00
2005 02 02 21 00 359  3.9  5.9 99.00 99.00 99.00 999 1021.3  16.9  15.4 999.0 99.0 99.00
2005 02 02 22 00   2  5.2  5.7 99.00 99.00 99.00 999 1021.8  16.6  15.4 999.0 99.0 99.00
2005 02 02 23 00   6  4.6  6.0 99.00 99.00 99.00 999 1021.9  16.7  15.7 999.0 99.0 99.00
2005 02 03 01 00  52  3.5  7.6 99.00 99.00 99.00 999 1022.4  17.8  16.0 999.0 99.0 99.00
2005 02 03 02 00  77  3.3  6.4 99.00 99.00 99.00 999 1022.6  17.6  16.0 999.0 99.0 99.00
2005 02 03 03 00  92  2.5  4.7 99.00 99.00 99.00 999 1022.7  17.2  15.9 999.0 99.0 99.00
2005 02 03 04 00 104  3.1  5.0 99.00 99.00 99.00 999 1022.6  17.1  16.0 999.0 99.0 99.00
2005 02 03 05 00 116  3.6  5.0 99.00 99.00 99.00 999 1022.1  17.0  16.1 999.0 99.0 99.00
2005 02 03 06 00 122  4.2  5.9 99.00 99.00 99.00 999 1021.1  16.9  16.2 999.0 99.0 99.00
2005 02 03 07 00 123  3.6  5.9 99.00 99.00 99.00 999 1020.1  17.1  15.8 999.0 99.0 99.00
2005 02 03 08 00 137  3.2  6.3 99.00 99.00 99.00 999 1019.9  17.1  15.7 999.0 99.0 99.00
2005 02 03 09 00 132  1.9  4.7 99.00 99.00 99.00 999 1019.9  16.9  15.7 999.0 99.0 99.00
2005 02 03 10 00 113  1.7  4.3 99.00 99.00 99.00 999 1019.7  16.7  15.6 999.0 99.0 99.00
2005 02 03 11 00 127  2.8  3.9 99.00 99.00 99.00 999 1019.8  16.2  15.5 999.0 99.0 99.00
2005 02 03 12 00 136  2.3  3.9 99.00 99.00 99.00 999 1020.3  16.0  15.5 999.0 99.0 99.00
2005 02 03 13 00 127  4.2  5.2 99.00 99.00 99.00 999 1020.2  15.9  15.7 999.0 99.0 99.00
