YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 11 01 00 12 999  2.3  3.7 99.00 99.00 99.00 999 1019.5  21.8  21.2 999.0 99.0 99.00
2005 11 01 00 18 999  2.3  3.6 99.00 99.00 99.00 999 1019.6  21.8  21.2 999.0 99.0 99.00
2005 11 01 00 24 999  2.0  3.0 99.00 99.00 99.00 999 1019.6  21.7  21.1 999.0 99.0 99.00
2005 11 01 00 30 999  1.6  2.5 99.00 99.00 99.00 999 1019.7  21.7  21.1 999.0 99.0 99.00
2005 11 01 00 36 999  1.4  2.8 99.00 99.00 99.00 999 1019.7  21.8  21.1 999.0 99.0 99.00
2005 11 01 00 42 999  2.5  3.8 99.00 99.00 99.00 999 1019.7  21.8  21.1 999.0 99.0 99.00
2005 11 01 00 48 999  3.1  4.0 99.00 99.00 99.00 999 1019.8  22.0  21.1 999.0 99.0 99.00
2005 11 01 00 54 999  3.0  3.9 99.00 99.00 99.00 999 1019.8  22.2  21.1 999.0 99.0 99.00
2005 11 01 01 00 999  2.7  3.4 99.00 99.00 99.00 999 1019.8  22.3  21.1 999.0 99.0 99.00
2005 11 01 01 06 999  2.7  4.2 99.00 99.00 99.00 999 1019.9  22.2  21.1 999.0 99.0 99.00
2005 11 01 01 12 999  3.6  4.7 99.00 99.00 99.00 999 1020.0  22.2  21.1 999.0 99.0 99.00
2005 11 01 01 18 999  2.9  4.1 99.00 99.00 99.00 999 1020.1  22.4  21.1 999.0 99.0 99.00
2005 11 01 01 24 999  2.0  2.8 99.00 99.00 99.00 999 1020.4  22.3  21.1 999.0 99.0 99.00
2005 11 01 01 30 999  1.6  2.2 99.00 99.00 99.00 999 1020.6  22.3  21.1 999.0 99.0 99.00
2005 11 01 01 36 999  1.6  2.1 99.00 99.00 99.00 999 1020.8  22.3  21.1 999.0 99.0 99.00
2005 11 01 01 42 999  1.5  2.3 99.00 99.00 99.00 999 1020.8  22.3  21.1 999.0 99.0 99.00
2005 11 01 01 48 999  1.1  1.7 99.00 99.00 99.00 999 1020.9  22.3  21.2 999.0 99.0 99.00
2005 11 01 01 54 999  1.1  1.6 99.00 99.00 99.00 999 1021.0  22.3  21.2 999.0 99.0 99.00
2005 11 01 02 00 999  0.6  0.8 99.00 99.00 99.00 999 1021.2  22.3  21.2 999.0 99.0 99.00
2005 11 01 02 06 999  0.2  0.7 99.00 99.00 99.00 999 1021.3  22.2  21.2 999.0 99.0 99.00
2005 11 01 02 12 999  0.2  0.4 99.00 99.00 99.00 999 1021.4  22.0  21.1 999.0 99.0 99.00
2005 11 01 02 18 999  0.5  0.8 99.00 99.00 99.00 999 1021.5  22.0  21.1 999.0 99.0 99.00
2005 11 01 02 24 999  1.0  1.4 99.00 99.00 99.00 999 1021.7  22.2  21.2 999.0 99.0 99.00
2005 11 01 02 30 999  1.5  1.6 99.00 99.00 99.00 999 1021.6  22.2  21.2 999.0 99.0 99.00
2005 11 01 02 36 999  1.8  2.0 99.00 99.00 99.00 999 1021.7  22.1  21.2 999.0 99.0 99.00
2005 11 01 02 42 999  2.6  3.0 99.00 99.00 99.00 999 1021.7  21.9  21.2 999.0 99.0 99.00
2005 11 01 02 48 999  1.8  2.1 99.00 99.00 99.00 999 1021.7  21.7  21.2 999.0 99.0 99.00
2005 11 01 02 54 999  1.5  1.8 99.00 99.00 99.00 999 1021.6  21.5  21.2 999.0 99.0 99.00
2005 11 01 03 00 999  1.2  1.4 99.00 99.00 99.00 999 1021.6  21.4  21.2 999.0 99.0 99.00
2005 11 01 03 06 999  1.2  1.5 99.00 99.00 99.00 999 1021.6  21.4  21.2 999.0 99.0 99.00
2005 11 01 03 12 999  1.3  1.6 99.00 99.00 99.00 999 1021.6  21.3  21.2 999.0 99.0 99.00
2005 11 01 03 18 999  1.1  1.3 99.00 99.00 99.00 999 1021.5  21.4  21.2 999.0 99.0 99.00
2005 11 01 03 24 999  1.0  1.3 99.00 99.00 99.00 999 1021.4  21.3  21.2 999.0 99.0 99.00
2005 11 01 03 30 999  1.7  2.1 99.00 99.00 99.00 999 1021.5  21.3  21.2 999.0 99.0 99.00
2005 11 01 03 36 999  1.9  2.6 99.00 99.00 99.00 999 1021.5  21.1  21.2 999.0 99.0 99.00
2005 11 01 03 42 999  2.4  2.8 99.00 99.00 99.00 999 1021.5  21.0  21.2 999.0 99.0 99.00
2005 11 01 03 48 999  2.4  2.9 99.00 99.00 99.00 999 1021.5  20.9  21.2 999.0 99.0 99.00
2005 11 01 03 54 999  2.3  2.9 99.00 99.00 99.00 999 1021.5  20.7  21.2 999.0 99.0 99.00
2005 11 01 04 00 999  2.0  3.0 99.00 99.00 99.00 999 1021.4  20.6  21.2 999.0 99.0 99.00
2005 11 01 04 06 999  2.7  3.4 99.00 99.00 99.00 999 1021.4  20.4  21.2 999.0 99.0 99.00
2005 11 01 04 12 999  2.9  4.0 99.00 99.00 99.00 999 1021.5  20.4  21.2 999.0 99.0 99.00
2005 11 01 04 18 999  2.4  3.7 99.00 99.00 99.00 999 1021.5  20.5  21.2 999.0 99.0 99.00
2005 11 01 04 24 999  2.4  3.3 99.00 99.00 99.00 999 1021.4  20.5  21.2 999.0 99.0 99.00
2005 11 01 04 30 999  2.5  3.5 99.00 99.00 99.00 999 1021.3  20.5  21.2 999.0 99.0 99.00
2005 11 01 04 36 999  2.0  3.2 99.00 99.00 99.00 999 1021.2  20.4  21.2 999.0 99.0 99.00
2005 11 01 04 42 999  2.5  3.5 99.00 99.00 99.00 999 1021.2  20.3  21.2 999.0 99.0 99.00
2005 11 01 04 48 999  2.0  3.2 99.00 99.00 99.00 999 1021.1  20.4  21.2 999.0 99.0 99.00
2005 11 01 04 54 999  2.4  3.5 99.00 99.00 99.00 999 1021.1  20.5  21.2 999.0 99.0 99.00
2005 11 01 05 00 999  2.9  4.2 99.00 99.00 99.00 999 1021.1  20.4  21.2 999.0 99.0 99.00
2005 11 01 05 06 999  2.9  4.8 99.00 99.00 99.00 999 1021.0  20.4  21.2 999.0 99.0 99.00
2005 11 01 05 12 999  3.3  4.9 99.00 99.00 99.00 999 1021.0  20.3  21.2 999.0 99.0 99.00
2005 11 01 05 18 999  3.0  4.6 99.00 99.00 99.00 999 1020.9  20.4  21.2 999.0 99.0 99.00
2005 11 01 05 24 999  3.3  4.4 99.00 99.00 99.00 999 1020.7  20.4  21.2 999.0 99.0 99.00
2005 11 01 05 30 999  2.7  3.7 99.00 99.00 99.00 999 1020.7  20.5  21.2 999.0 99.0 99.00
2005 11 01 05 36 999  2.9  3.9 99.00 99.00 99.00 999 1020.5  20.5  21.2 999.0 99.0 99.00
2005 11 01 05 42 999  2.2  2.9 99.00 99.00 99.00 999 1020.5  20.5  21.2 999.0 99.0 99.00
2005 11 01 05 48 999  2.4  3.2 99.00 99.00 99.00 999 1020.3  20.5  21.2 999.0 99.0 99.00
2005 11 01 05 54 999  2.6  3.0 99.00 99.00 99.00 999 1020.2  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 00 999  2.2  2.7 99.00 99.00 99.00 999 1020.2  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 06 999  2.2  2.7 99.00 99.00 99.00 999 1020.2  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 12 999  2.0  2.5 99.00 99.00 99.00 999 1020.2  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 18 999  1.9  2.3 99.00 99.00 99.00 999 1020.0  20.6  21.2 999.0 99.0 99.00
2005 11 01 06 24 999  2.0  2.3 99.00 99.00 99.00 999 1020.0  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 30 999  1.4  1.9 99.00 99.00 99.00 999 1020.0  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 36 999  2.0  2.3 99.00 99.00 99.00 999 1020.1  20.6  21.2 999.0 99.0 99.00
2005 11 01 06 42 999  1.8  2.2 99.00 99.00 99.00 999 1020.0  20.5  21.2 999.0 99.0 99.00
2005 11 01 06 48 999  1.4  1.8 99.00 99.00 99.00 999 1019.9  20.4  21.2 999.0 99.0 99.00
