YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 01 00 00 220  4.0  5.0 99.00 99.00 99.00 999 1016.0  23.7 999.0 999.0 99.0  1.59
2005 04 01 01 00 350  3.0  4.0 99.00 99.00 99.00 999 1016.7  24.2 999.0 999.0 99.0  1.20
2005 04 01 02 00  10  9.0 13.0 99.00 99.00 99.00 999 1017.6  24.0 999.0 999.0 99.0  0.85
2005 04 01 03 00  40 10.0 12.0 99.00 99.00 99.00 999 1018.0  22.4 999.0 999.0 99.0  0.44
2005 04 01 04 00  50  6.0  8.0 99.00 99.00 99.00 999 1018.0  22.0 999.0 999.0 99.0  0.10
2005 04 01 05 00  60  6.0  8.0 99.00 99.00 99.00 999 1017.3  22.0 999.0 999.0 99.0 -0.19
2005 04 01 06 00  80  5.0  7.0 99.00 99.00 99.00 999 1016.8  22.0 999.0 999.0 99.0 -0.43
2005 04 01 07 00  80  4.0  4.0 99.00 99.00 99.00 999 1016.1  21.5 999.0 999.0 99.0 -0.64
2005 04 01 08 00  90  4.0  5.0 99.00 99.00 99.00 999 1015.4  21.2 999.0 999.0 99.0 -0.81
2005 04 01 09 00 100  4.0  5.0 99.00 99.00 99.00 999 1014.6  20.7 999.0 999.0 99.0 -0.89
2005 04 01 10 00 100  4.0  5.0 99.00 99.00 99.00 999 1014.4  20.6 999.0 999.0 99.0 -0.72
2005 04 01 11 00 120  5.0  7.0 99.00 99.00 99.00 999 1014.3  20.2 999.0 999.0 99.0 -0.39
2005 04 01 12 00 140  6.0  7.0 99.00 99.00 99.00 999 1014.3  20.3 999.0 999.0 99.0  0.02
2005 04 01 13 00 140  6.0  7.0 99.00 99.00 99.00 999 1014.3  21.1 999.0 999.0 99.0  0.50
2005 04 01 14 00 160  6.0  7.0 99.00 99.00 99.00 999 1013.7  22.7 999.0 999.0 99.0  0.86
2005 04 01 15 00 180  4.0  5.0 99.00 99.00 99.00 999 1014.0  24.2 999.0 999.0 99.0  0.93
2005 04 01 16 00 210  4.0  4.0 99.00 99.00 99.00 999 1014.0  24.2 999.0 999.0 99.0  0.80
2005 04 01 17 00 220  5.0  6.0 99.00 99.00 99.00 999 1013.8  24.3 999.0 999.0 99.0  0.79
2005 04 01 18 00 200  7.0  8.0 99.00 99.00 99.00 999 1012.3  24.8 999.0 999.0 99.0  0.94
2005 04 01 19 00 220 10.0 11.0 99.00 99.00 99.00 999 1012.1  24.8 999.0 999.0 99.0  1.19
2005 04 01 20 00 220  9.0 11.0 99.00 99.00 99.00 999 1011.4  25.3 999.0 999.0 99.0  1.53
2005 04 01 21 00 220 10.0 12.0 99.00 99.00 99.00 999 1011.2  25.4 999.0 999.0 99.0  2.03
2005 04 01 22 00 220 10.0 12.0 99.00 99.00 99.00 999 1011.3  25.0 999.0 999.0 99.0  2.49
2005 04 01 23 00 210  9.0 10.0 99.00 99.00 99.00 999 1010.7  24.7 999.0 999.0 99.0  2.63
2005 04 02 00 00 200  8.0  9.0 99.00 99.00 99.00 999 1010.7  24.5 999.0 999.0 99.0  2.66
2005 04 02 01 00 190  8.0 10.0 99.00 99.00 99.00 999 1010.1  24.8 999.0 999.0 99.0  2.28
2005 04 02 02 00 200  8.0 10.0 99.00 99.00 99.00 999 1010.7  24.7 999.0 999.0 99.0  1.93
2005 04 02 03 00 200  5.0  6.0 99.00 99.00 99.00 999 1010.6  24.7 999.0 999.0 99.0  1.51
