YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 01 21 00 358  0.4  5.8 99.00 99.00 99.00 999 1018.1  24.0  21.6 999.0 99.0 99.00
2005 02 01 22 00 358  0.8  5.8 99.00 99.00 99.00 999 1018.2  22.6  21.8 999.0 99.0 99.00
2005 02 01 23 00 358  1.3  4.6 99.00 99.00 99.00 999 1018.0  21.3  21.7 999.0 99.0 99.00
2005 02 02 00 00 358  2.8  5.2 99.00 99.00 99.00 999 1018.7  20.7  21.7 999.0 99.0 99.00
2005 02 02 02 00 358  2.3  7.2 99.00 99.00 99.00 999 1020.4  20.5  21.6 999.0 99.0 99.00
2005 02 02 03 00 358  2.1  6.2 99.00 99.00 99.00 999 1020.9  20.3  21.6 999.0 99.0 99.00
2005 02 02 04 00 358  0.7  6.3 99.00 99.00 99.00 999 1020.8  19.9  21.7 999.0 99.0 99.00
2005 02 02 05 00 358  0.6  4.7 99.00 99.00 99.00 999 1020.8  19.7  21.7 999.0 99.0 99.00
2005 02 02 06 00 358  2.3  5.9 99.00 99.00 99.00 999 1020.0  19.8  21.5 999.0 99.0 99.00
2005 02 02 07 00 358  0.7  5.5 99.00 99.00 99.00 999 1019.1  19.6  21.6 999.0 99.0 99.00
2005 02 02 08 00 358  0.1  3.8 99.00 99.00 99.00 999 1019.4  19.3  21.5 999.0 99.0 99.00
2005 02 02 09 00 358  0.4  4.2 99.00 99.00 99.00 999 1018.9  19.4  21.4 999.0 99.0 99.00
2005 02 02 10 00 358  0.6  4.7 99.00 99.00 99.00 999 1019.0  19.4  21.5 999.0 99.0 99.00
2005 02 02 11 00 358  0.8  3.6 99.00 99.00 99.00 999 1019.3  19.3  21.6 999.0 99.0 99.00
2005 02 02 12 00 358  1.0  3.9 99.00 99.00 99.00 999 1019.8  19.2  21.5 999.0 99.0 99.00
2005 02 02 14 00 358  0.8  4.0 99.00 99.00 99.00 999 1020.4  20.8  21.5 999.0 99.0 99.00
2005 02 02 15 00 358  0.9  5.0 99.00 99.00 99.00 999 1021.0  21.6  21.5 999.0 99.0 99.00
2005 02 02 16 00 358  2.1  5.4 99.00 99.00 99.00 999 1021.0  22.1  21.4 999.0 99.0 99.00
2005 02 02 17 00 358  1.6  5.4 99.00 99.00 99.00 999 1019.8  22.6  21.2 999.0 99.0 99.00
2005 02 02 18 00 359  3.1  5.0 99.00 99.00 99.00 999 1019.3  22.5  21.4 999.0 99.0 99.00
2005 02 02 19 00 358  2.6  5.3 99.00 99.00 99.00 999 1018.8  24.0  21.4 999.0 99.0 99.00
2005 02 02 20 00 358  1.2  6.2 99.00 99.00 99.00 999 1018.5  24.6  21.6 999.0 99.0 99.00
2005 02 02 21 00 358  1.3  5.0 99.00 99.00 99.00 999 1018.3  24.6  21.6 999.0 99.0 99.00
2005 02 02 22 00 358  0.0  5.5 99.00 99.00 99.00 999 1019.1  23.4  21.6 999.0 99.0 99.00
2005 02 02 23 00 358  0.1  4.5 99.00 99.00 99.00 999 1020.0  22.1  21.7 999.0 99.0 99.00
2005 02 03 01 00 358  1.0  3.3 99.00 99.00 99.00 999 1020.7  21.1  21.5 999.0 99.0 99.00
2005 02 03 02 00 358  0.5  4.3 99.00 99.00 99.00 999 1021.0  20.9  21.6 999.0 99.0 99.00
2005 02 03 04 00 358  1.3  5.0 99.00 99.00 99.00 999 1021.3  20.6  21.5 999.0 99.0 99.00
2005 02 03 05 00 358  1.0  4.2 99.00 99.00 99.00 999 1021.1  20.1  21.6 999.0 99.0 99.00
2005 02 03 06 00 358  0.1  4.2 99.00 99.00 99.00 999 1020.5  19.7  21.5 999.0 99.0 99.00
2005 02 03 07 00 358  0.1  2.6 99.00 99.00 99.00 999 1020.0  19.5  21.5 999.0 99.0 99.00
2005 02 03 08 00 358  0.1  2.0 99.00 99.00 99.00 999 1019.5  19.5  21.5 999.0 99.0 99.00
2005 02 03 09 00 358  0.0  2.9 99.00 99.00 99.00 999 1019.3  19.5  21.4 999.0 99.0 99.00
2005 02 03 10 00 358  0.0  2.0 99.00 99.00 99.00 999 1019.3  19.5  21.5 999.0 99.0 99.00
2005 02 03 11 00 358  0.3  2.2 99.00 99.00 99.00 999 1019.7  19.3  21.5 999.0 99.0 99.00
2005 02 03 12 00 358  0.9  2.8 99.00 99.00 99.00 999 1019.8  19.5  21.4 999.0 99.0 99.00
2005 02 03 13 00 358  0.0  3.0 99.00 99.00 99.00 999 1020.0  19.8  21.5 999.0 99.0 99.00
2005 02 03 14 00 358  0.0  3.2 99.00 99.00 99.00 999 1020.6  22.2  21.5 999.0 99.0 99.00
2005 02 03 15 00 358  1.0  3.5 99.00 99.00 99.00 999 1021.2  23.6  21.4 999.0 99.0 99.00
2005 02 03 16 00 358  1.8  3.7 99.00 99.00 99.00 999 1020.9  25.0  21.5 999.0 99.0 99.00
2005 02 03 17 00 359  3.0  5.1 99.00 99.00 99.00 999 1020.5  24.7  21.6 999.0 99.0 99.00
2005 02 03 18 00 359  2.9  5.7 99.00 99.00 99.00 999 1020.0  21.9  21.5 999.0 99.0 99.00
2005 02 03 19 00 358  2.4  4.9 99.00 99.00 99.00 999 1018.9  23.1  21.7 999.0 99.0 99.00
2005 02 03 20 00 358  1.5  4.4 99.00 99.00 99.00 999 1018.2  22.7  21.6 999.0 99.0 99.00
2005 02 03 21 00 358  1.9  3.9 99.00 99.00 99.00 999 1018.5  22.6  21.6 999.0 99.0 99.00
2005 02 03 22 00 358  1.1  4.8 99.00 99.00 99.00 999 1018.5  22.8  21.7 999.0 99.0 99.00
2005 02 03 23 00 358  0.1  2.8 99.00 99.00 99.00 999 1018.8  22.1  21.7 999.0 99.0 99.00
2005 02 04 00 00 358  0.0  1.9 99.00 99.00 99.00 999 1019.4  21.4  21.7 999.0 99.0 99.00
2005 02 04 01 00 358  0.0  1.4 99.00 99.00 99.00 999 1019.8  21.2  21.8 999.0 99.0 99.00
2005 02 04 02 00 358  0.0  1.1 99.00 99.00 99.00 999 1020.0  20.6  21.7 999.0 99.0 99.00
2005 02 04 03 00 358  0.0 99.0 99.00 99.00 99.00 999 1020.1  20.6  21.7 999.0 99.0 99.00
2005 02 04 04 00 358  0.0 99.0 99.00 99.00 99.00 999 1019.5  20.1  21.8 999.0 99.0 99.00
2005 02 04 05 00 358  0.0 99.0 99.00 99.00 99.00 999 1018.9  19.7  21.7 999.0 99.0 99.00
2005 02 04 06 00 358  0.0 99.0 99.00 99.00 99.00 999 1018.1  19.5  21.7 999.0 99.0 99.00
2005 02 04 07 00 358  2.6  3.1 99.00 99.00 99.00 999 1016.9  19.9  21.7 999.0 99.0 99.00
2005 02 04 08 00 358  2.3  3.3 99.00 99.00 99.00 999 1016.4  21.1  21.7 999.0 99.0 99.00
2005 02 04 09 00 358  2.9  4.2 99.00 99.00 99.00 999 1017.0  21.5  21.7 999.0 99.0 99.00
2005 02 04 10 00 358  3.7  5.6 99.00 99.00 99.00 999 1017.6  21.6  21.7 999.0 99.0 99.00
2005 02 04 11 00 358  2.7  5.7 99.00 99.00 99.00 999 1017.3  21.1  21.7 999.0 99.0 99.00
2005 02 04 12 00 358  3.2  5.5 99.00 99.00 99.00 999 1017.8  21.3  21.7 999.0 99.0 99.00
2005 02 04 13 00 358  3.3  6.3 99.00 99.00 99.00 999 1018.0  21.2  21.7 999.0 99.0 99.00
