YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 01 21 00 240  3.6  6.5 99.00 99.00 99.00 999 1017.6  23.4  17.9 999.0 99.0 99.00
2005 02 01 22 00 243  3.1  5.6 99.00 99.00 99.00 999 1017.8  21.8  17.8 999.0 99.0 99.00
2005 02 01 23 00 292  1.0  2.9 99.00 99.00 99.00 999 1018.8  18.6  18.0 999.0 99.0 99.00
2005 02 02 00 00 344  2.0  2.3 99.00 99.00 99.00 999 1019.6  18.6  18.0 999.0 99.0 99.00
2005 02 02 02 00  83  2.7  4.1 99.00 99.00 99.00 999 1021.3  20.2  18.1 999.0 99.0 99.00
2005 02 02 03 00  80  3.0  5.2 99.00 99.00 99.00 999 1021.6  19.6  18.1 999.0 99.0 99.00
2005 02 02 04 00  77  2.8  4.6 99.00 99.00 99.00 999 1021.8  19.0  18.0 999.0 99.0 99.00
2005 02 02 05 00  64  1.1  4.4 99.00 99.00 99.00 999 1021.3  17.5  17.9 999.0 99.0 99.00
2005 02 02 06 00  49  1.2  2.7 99.00 99.00 99.00 999 1021.2  16.5  17.8 999.0 99.0 99.00
2005 02 02 07 00  48  1.9  3.3 99.00 99.00 99.00 999 1020.5  16.0  17.7 999.0 99.0 99.00
2005 02 02 08 00  56  2.1  4.4 99.00 99.00 99.00 999 1020.2  15.8  17.6 999.0 99.0 99.00
2005 02 02 09 00  50  1.8  3.9 99.00 99.00 99.00 999 1020.0  15.2  17.6 999.0 99.0 99.00
2005 02 02 10 00  72  1.8  3.5 99.00 99.00 99.00 999 1019.9  14.6  17.6 999.0 99.0 99.00
2005 02 02 11 00  63  1.8  3.5 99.00 99.00 99.00 999 1020.0  14.3  17.5 999.0 99.0 99.00
2005 02 02 12 00  63  2.3  4.0 99.00 99.00 99.00 999 1020.2  13.8  17.4 999.0 99.0 99.00
2005 02 02 14 00  84  3.3  5.1 99.00 99.00 99.00 999 1021.2  14.5  17.4 999.0 99.0 99.00
2005 02 02 15 00  68  3.5  5.3 99.00 99.00 99.00 999 1021.9  17.3  17.5 999.0 99.0 99.00
2005 02 02 16 00  66  2.4  4.6 99.00 99.00 99.00 999 1021.3  20.8  17.5 999.0 99.0 99.00
2005 02 02 17 00  90  1.6  5.3 99.00 99.00 99.00 999 1020.5  22.4  17.7 999.0 99.0 99.00
2005 02 02 18 00 133  2.1  4.5 99.00 99.00 99.00 999 1020.1  25.3  17.7 999.0 99.0 99.00
2005 02 02 19 00 263  3.1  5.3 99.00 99.00 99.00 999 1019.0  21.2  17.8 999.0 99.0 99.00
2005 02 02 20 00 289  3.2  4.9 99.00 99.00 99.00 999 1019.1  19.8  18.0 999.0 99.0 99.00
2005 02 02 21 00 299  2.9  3.9 99.00 99.00 99.00 999 1019.4  19.9  18.1 999.0 99.0 99.00
2005 02 02 22 00 322  2.4  3.0 99.00 99.00 99.00 999 1019.8  19.7  18.2 999.0 99.0 99.00
2005 02 02 23 00 334  2.4  3.4 99.00 99.00 99.00 999 1020.4  18.8  18.1 999.0 99.0 99.00
2005 02 03 01 00 329  2.7  3.6 99.00 99.00 99.00 999 1021.1  18.8  18.0 999.0 99.0 99.00
2005 02 03 02 00 332  3.0  4.5 99.00 99.00 99.00 999 1021.3  18.9  18.1 999.0 99.0 99.00
2005 02 03 03 00 316  2.2  3.0 99.00 99.00 99.00 999 1021.6  18.4  18.0 999.0 99.0 99.00
