YYYY MM DD hh mm DIR  SPD GDR GSP GTIME
2004 12 31 23 10  50  3.4 999 99.0 9999
2004 12 31 23 20  53  3.4 999 99.0 9999
2004 12 31 23 30  52  3.4 999 99.0 9999
2004 12 31 23 40  55  4.4 999 99.0 9999
2004 12 31 23 50  60  4.5 999 99.0 9999
2005 01 01 00 00  64  5.0  61  5.5 2353
2005 01 01 00 10  67  5.1 999 99.0 9999
2005 01 01 00 20  69  4.8 999 99.0 9999
2005 01 01 00 30  73  4.7 999 99.0 9999
2005 01 01 00 40  74  5.1 999 99.0 9999
2005 01 01 00 50  77  5.6 999 99.0 9999
2005 01 01 01 00  75  6.2  75  6.6 0057
2005 01 01 01 10  74  6.2 999 99.0 9999
2005 01 01 01 20  75  5.9 999 99.0 9999
2005 01 01 01 30  77  6.0 999 99.0 9999
2005 01 01 01 40  77  6.1 999 99.0 9999
2005 01 01 01 50  75  6.1 999 99.0 9999
2005 01 01 02 00  75  6.1  75  7.1 0145
2005 01 01 02 10  77  6.3 999 99.0 9999
2005 01 01 02 20  80  6.5 999 99.0 9999
2005 01 01 02 30  79  6.3 999 99.0 9999
2005 01 01 02 40  79  6.5 999 99.0 9999
2005 01 01 02 50  82  6.4 999 99.0 9999
2005 01 01 03 00  83  6.3  79  7.1 0234
2005 01 01 03 10  82  5.9 999 99.0 9999
2005 01 01 03 20  80  5.7 999 99.0 9999
2005 01 01 03 30  77  6.1 999 99.0 9999
2005 01 01 03 40  76  6.0 999 99.0 9999
2005 01 01 03 50  80  5.5 999 99.0 9999
2005 01 01 04 00  81  5.0  78  6.5 0328
2005 01 01 04 10  77  4.9 999 99.0 9999
2005 01 01 04 20  72  5.3 999 99.0 9999
2005 01 01 04 30  72  5.0 999 99.0 9999
2005 01 01 04 40  75  4.8 999 99.0 9999
2005 01 01 04 50  74  4.6 999 99.0 9999
2005 01 01 05 00  78  4.3  72  5.7 0415
2005 01 01 05 10  76  4.9 999 99.0 9999
2005 01 01 05 20  75  4.8 999 99.0 9999
2005 01 01 05 30  73  4.9 999 99.0 9999
2005 01 01 05 40  75  5.0 999 99.0 9999
2005 01 01 05 50  80  5.1 999 99.0 9999
2005 01 01 06 00  78  5.1  77  5.7 0540
2005 01 01 06 10  73  5.1 999 99.0 9999
2005 01 01 06 20  78  5.3 999 99.0 9999
2005 01 01 06 30  75  4.8 999 99.0 9999
2005 01 01 06 40  84  4.5 999 99.0 9999
2005 01 01 06 50  87  4.6 999 99.0 9999
2005 01 01 07 00  88  4.4  78  5.6 0616
2005 01 01 07 10  86  5.1 999 99.0 9999
2005 01 01 07 20  85  5.2 999 99.0 9999
2005 01 01 07 30  85  5.3 999 99.0 9999
2005 01 01 07 40  83  5.5 999 99.0 9999
2005 01 01 07 50  80  5.6 999 99.0 9999
2005 01 01 08 00  82  5.3  80  5.8 0749
2005 01 01 08 10  80  5.4 999 99.0 9999
2005 01 01 08 20  81  5.6 999 99.0 9999
2005 01 01 08 30  81  5.4 999 99.0 9999
2005 01 01 08 40  81  5.2 999 99.0 9999
2005 01 01 08 50  86  5.3 999 99.0 9999
2005 01 01 09 00  85  5.2  81  6.1 0815
2005 01 01 09 10  92  5.0 999 99.0 9999
2005 01 01 09 20  93  5.1 999 99.0 9999
2005 01 01 09 30  93  5.1 999 99.0 9999
2005 01 01 09 40  95  5.2 999 99.0 9999
2005 01 01 09 50  92  5.0 999 99.0 9999
2005 01 01 10 00  93  4.7  94  5.6 0931
2005 01 01 10 10  90  4.8 999 99.0 9999
2005 01 01 10 20  93  4.8 999 99.0 9999
2005 01 01 10 30  89  4.5 999 99.0 9999
2005 01 01 10 40  84  3.9 999 99.0 9999
2005 01 01 10 50  82  3.3 999 99.0 9999
2005 01 01 11 00  83  3.3  89  5.0 1007
2005 01 01 11 10  79  3.0 999 99.0 9999
2005 01 01 11 20  82  3.0 999 99.0 9999
2005 01 01 11 30  87  3.3 999 99.0 9999
2005 01 01 11 40  82  3.4 999 99.0 9999
2005 01 01 11 50  87  3.6 999 99.0 9999
2005 01 01 12 00 105  3.9 104  4.1 1157
2005 01 01 12 10 101  3.4 999 99.0 9999
2005 01 01 12 20  96  3.7 999 99.0 9999
2005 01 01 12 30  92  2.9 999 99.0 9999
2005 01 01 12 40  97  3.2 999 99.0 9999
2005 01 01 12 50  96  3.3 999 99.0 9999
2005 01 01 13 00  88  4.1  88  4.4 1257
2005 01 01 13 10 100  3.9 999 99.0 9999
2005 01 01 13 20  96  4.1 999 99.0 9999
2005 01 01 13 30  95  4.1 999 99.0 9999
2005 01 01 13 40  90  4.5 999 99.0 9999
2005 01 01 13 50  90  4.9 999 99.0 9999
2005 01 01 14 00  91  5.1  92  5.6 1352
2005 01 01 14 10  90  5.0 999 99.0 9999
2005 01 01 14 20  81  4.8 999 99.0 9999
2005 01 01 14 30  83  5.0 999 99.0 9999
2005 01 01 14 40  84  5.1 999 99.0 9999
2005 01 01 14 50  84  5.0 999 99.0 9999
2005 01 01 15 00  89  4.6  83  5.5 1443
2005 01 01 15 10  84  4.5 999 99.0 9999
2005 01 01 15 20  86  4.6 999 99.0 9999
2005 01 01 15 30  88  4.7 999 99.0 9999
2005 01 01 15 40  88  4.8 999 99.0 9999
2005 01 01 15 50  84  5.0 999 99.0 9999
2005 01 01 16 00  86  4.7  85  5.6 1544
2005 01 01 16 10  94  5.2 999 99.0 9999
2005 01 01 16 20  97  5.4 999 99.0 9999
2005 01 01 16 30  96  5.2 999 99.0 9999
2005 01 01 16 40  94  4.9 999 99.0 9999
2005 01 01 16 50  99  4.6 999 99.0 9999
2005 01 01 17 00  99  4.5  95  6.0 1613
2005 01 01 17 10  95  4.4 999 99.0 9999
2005 01 01 17 20 100  4.6 999 99.0 9999
2005 01 01 17 30 105  5.1 999 99.0 9999
2005 01 01 17 40 102  5.1 999 99.0 9999
2005 01 01 17 50 101  5.0 999 99.0 9999
2005 01 01 18 00 103  5.4 103  5.9 1757
2005 01 01 18 10 108  5.3 999 99.0 9999
2005 01 01 18 20 106  5.0 999 99.0 9999
2005 01 01 18 30 107  5.0 999 99.0 9999
2005 01 01 18 40 104  5.1 999 99.0 9999
2005 01 01 18 50  99  4.4 999 99.0 9999
2005 01 01 19 00  96  4.2 107  5.8 1802
2005 01 01 19 10  96  4.2 999 99.0 9999
2005 01 01 19 20  94  4.3 999 99.0 9999
2005 01 01 19 30  96  4.7 999 99.0 9999
2005 01 01 19 40  93  4.5 999 99.0 9999
2005 01 01 19 50  95  4.6 999 99.0 9999
2005 01 01 20 00  94  5.0  96  5.3 1950
2005 01 01 20 10  93  5.0 999 99.0 9999
2005 01 01 20 20  93  4.7 999 99.0 9999
2005 01 01 20 30  85  4.7 999 99.0 9999
2005 01 01 20 40  87  4.8 999 99.0 9999
2005 01 01 20 50  87  5.0 999 99.0 9999
2005 01 01 21 00  85  5.3  85  5.9 2059
2005 01 01 21 10  87  5.5 999 99.0 9999
2005 01 01 21 20  85  5.0 999 99.0 9999
2005 01 01 21 30  82  5.0 999 99.0 9999
2005 01 01 21 40  74  4.8 999 99.0 9999
2005 01 01 21 50  73  4.5 999 99.0 9999
2005 01 01 22 00  75  4.5  86  5.8 2101
2005 01 01 22 10  77  5.3 999 99.0 9999
2005 01 01 22 20  77  5.3 999 99.0 9999
2005 01 01 22 30  77  5.4 999 99.0 9999
2005 01 01 22 40  80  6.0 999 99.0 9999
2005 01 01 22 50  77  5.7 999 99.0 9999
2005 01 01 23 00  74  5.5  80  6.4 2233
2005 01 01 23 10  76  5.7 999 99.0 9999
2005 01 01 23 20  77  5.7 999 99.0 9999
2005 01 01 23 30  74  5.4 999 99.0 9999
2005 01 01 23 40  76  5.9 999 99.0 9999
2005 01 01 23 50  74  5.8 999 99.0 9999
2005 01 02 00 00  70  5.5  76  6.3 2333
2005 01 02 00 10  72  5.4 999 99.0 9999
2005 01 02 00 20  70  5.9 999 99.0 9999
2005 01 02 00 30  73  5.7 999 99.0 9999
2005 01 02 00 40  75  5.9 999 99.0 9999
2005 01 02 00 50  76  5.9 999 99.0 9999
2005 01 02 01 00  82  5.9  70  6.8 0006
2005 01 02 01 10  85  6.1 999 99.0 9999
2005 01 02 01 20  86  5.5 999 99.0 9999
2005 01 02 01 30  84  5.4 999 99.0 9999
2005 01 02 01 40  77  5.0 999 99.0 9999
2005 01 02 01 50  69  4.1 999 99.0 9999
2005 01 02 02 00  63  3.0  85  6.5 0103
2005 01 02 02 10  87  5.3 999 99.0 9999
2005 01 02 02 20 100  6.5 999 99.0 9999
2005 01 02 02 30 104  5.8 999 99.0 9999
2005 01 02 02 40  99  5.4 999 99.0 9999
2005 01 02 02 50  93  5.5 999 99.0 9999
2005 01 02 03 00  90  5.5  99  7.3 0217
2005 01 02 03 10  91  6.0 999 99.0 9999
2005 01 02 03 20  90  6.1 999 99.0 9999
2005 01 02 03 30  92  6.2 999 99.0 9999
2005 01 02 03 40  96  6.3 999 99.0 9999
2005 01 02 03 50  92  5.7 999 99.0 9999
2005 01 02 04 00  99  6.1  96  6.8 0335
2005 01 02 04 10 110  6.3 999 99.0 9999
2005 01 02 04 20 113  6.7 999 99.0 9999
2005 01 02 04 30 112  6.4 999 99.0 9999
2005 01 02 04 40 112  7.7 999 99.0 9999
2005 01 02 04 50 115  7.7 999 99.0 9999
2005 01 02 05 00 119  7.7 111  8.6 0434
2005 01 02 05 10 118  7.2 999 99.0 9999
2005 01 02 05 20 118  7.4 999 99.0 9999
2005 01 02 05 30 118  6.9 999 99.0 9999
2005 01 02 05 40 117  6.5 999 99.0 9999
2005 01 02 05 50 119  6.8 999 99.0 9999
2005 01 02 06 00 120  7.0 120  8.5 0500
2005 01 02 06 10 123  7.2 999 99.0 9999
2005 01 02 06 20 122  6.2 999 99.0 9999
2005 01 02 06 30 121  6.2 999 99.0 9999
2005 01 02 06 40 122  6.0 999 99.0 9999
2005 01 02 06 50 122  5.6 999 99.0 9999
2005 01 02 07 00 122  5.5 124  8.0 0601
2005 01 02 07 10 122  5.9 999 99.0 9999
2005 01 02 07 20 122  6.0 999 99.0 9999
2005 01 02 07 30 119  5.7 999 99.0 9999
2005 01 02 07 40 120  5.9 999 99.0 9999
2005 01 02 07 50 119  6.1 999 99.0 9999
2005 01 02 08 00 116  7.0 116  9.1 0758
2005 01 02 08 10 114  7.3 999 99.0 9999
2005 01 02 08 20 124  8.4 999 99.0 9999
2005 01 02 08 30 122  6.3 999 99.0 9999
2005 01 02 08 40 131  5.4 999 99.0 9999
2005 01 02 08 50 142  4.5 999 99.0 9999
2005 01 02 09 00 146  4.5 121 10.5 0813
2005 01 02 09 10 147  4.4 999 99.0 9999
2005 01 02 09 20 147  3.3 999 99.0 9999
2005 01 02 09 30 136  3.6 999 99.0 9999
2005 01 02 09 40 130  3.4 999 99.0 9999
2005 01 02 09 50 121  4.0 999 99.0 9999
2005 01 02 10 00 117  4.8 117  5.6 0959
2005 01 02 10 10 119  5.7 999 99.0 9999
2005 01 02 10 20 121  5.3 999 99.0 9999
2005 01 02 10 30 127  4.2 999 99.0 9999
2005 01 02 10 40 124  3.6 999 99.0 9999
2005 01 02 10 50 118  5.8 999 99.0 9999
2005 01 02 11 00 117  5.9 118  6.3 1044
2005 01 02 11 10 117  5.9 999 99.0 9999
2005 01 02 11 20 112  6.1 999 99.0 9999
2005 01 02 11 30 109  6.4 999 99.0 9999
2005 01 02 11 40 114  6.2 999 99.0 9999
2005 01 02 11 50 115  5.9 999 99.0 9999
2005 01 02 12 00 110  6.2 110  6.9 1130
2005 01 02 12 10 103  5.8 999 99.0 9999
2005 01 02 12 20 109  5.7 999 99.0 9999
2005 01 02 12 30 110  6.3 999 99.0 9999
2005 01 02 12 40 105  5.9 999 99.0 9999
2005 01 02 12 50 105  6.2 999 99.0 9999
2005 01 02 13 00 102  5.9 110  6.8 1227
2005 01 02 13 10 103  5.9 999 99.0 9999
2005 01 02 13 20 105  5.8 999 99.0 9999
2005 01 02 13 30 105  5.4 999 99.0 9999
2005 01 02 13 40 107  5.9 999 99.0 9999
2005 01 02 13 50 106  5.7 999 99.0 9999
2005 01 02 14 00 106  5.5 102  6.6 1310
2005 01 02 14 10 107  5.5 999 99.0 9999
2005 01 02 14 20 105  5.5 999 99.0 9999
2005 01 02 14 30 113  4.5 999 99.0 9999
2005 01 02 14 40 117  4.8 999 99.0 9999
2005 01 02 14 50 113  5.0 999 99.0 9999
2005 01 02 15 00 106  5.6 107  6.1 1409
2005 01 02 15 10 111  5.3 999 99.0 9999
2005 01 02 15 20 106  4.8 999 99.0 9999
2005 01 02 15 30  95  4.7 999 99.0 9999
2005 01 02 15 40  93  4.4 999 99.0 9999
2005 01 02 15 50  99  5.5 999 99.0 9999
2005 01 02 16 00 102  6.2 102  6.7 1559
2005 01 02 16 10 105  6.1 999 99.0 9999
2005 01 02 16 20 107  6.2 999 99.0 9999
2005 01 02 16 30 109  5.8 999 99.0 9999
2005 01 02 16 40 112  5.6 999 99.0 9999
2005 01 02 16 50 111  5.7 999 99.0 9999
2005 01 02 17 00 117  4.8 108  6.7 1611
2005 01 02 17 10 120  4.9 999 99.0 9999
2005 01 02 17 20 120  5.1 999 99.0 9999
2005 01 02 17 30 123  5.2 999 99.0 9999
2005 01 02 17 40 124  5.1 999 99.0 9999
2005 01 02 17 50 126  5.1 999 99.0 9999
2005 01 02 18 00 124  4.6 123  5.8 1721
2005 01 02 18 10 122  4.2 999 99.0 9999
2005 01 02 18 20 122  3.8 999 99.0 9999
2005 01 02 18 30 122  3.8 999 99.0 9999
2005 01 02 18 40 122  3.8 999 99.0 9999
2005 01 02 18 50 120  3.8 999 99.0 9999
2005 01 02 19 00 119  4.0 123  4.6 1802
2005 01 02 19 10 117  4.1 999 99.0 9999
2005 01 02 19 20 116  4.5 999 99.0 9999
