YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  60  9.1  9.9 99.00 99.00 99.00 999 1023.5  22.2  23.1 999.0 99.0 99.00
2005 01 01 01 00  70  9.3 10.0 99.00 99.00 99.00 999 1023.6  21.8  23.1 999.0 99.0 99.00
2005 01 01 02 00  66 10.0 10.7 99.00 99.00 99.00 999 1023.8  21.9  23.2 999.0 99.0 99.00
2005 01 01 03 00  61  7.4  7.9 99.00 99.00 99.00 999 1024.5  21.6  23.2 999.0 99.0 99.00
2005 01 01 04 00  91  9.1 10.1 99.00 99.00 99.00 999 1024.1  23.3  23.1 999.0 99.0 99.00
2005 01 01 05 00  96 10.1 12.3 99.00 99.00 99.00 999 1023.6  23.4  23.1 999.0 99.0 99.00
2005 01 01 06 00 100 12.5 13.8 99.00 99.00 99.00 999 1022.9  23.0  23.1 999.0 99.0 99.00
2005 01 01 07 00 103 11.3 12.8 99.00 99.00 99.00 999 1023.0  23.1  23.1 999.0 99.0 99.00
2005 01 01 08 00  98 10.7 12.4 99.00 99.00 99.00 999 1022.5  23.1  23.1 999.0 99.0 99.00
2005 01 01 09 00  95 10.6 11.7 99.00 99.00 99.00 999 1022.4  23.0  22.9 999.0 99.0 99.00
2005 01 01 10 00  97 10.3 11.5 99.00 99.00 99.00 999 1022.5  23.0  22.7 999.0 99.0 99.00
2005 01 01 11 00  98  9.5 11.3 99.00 99.00 99.00 999 1023.0  23.2  22.5 999.0 99.0 99.00
2005 01 01 12 00  91  8.7 10.1 99.00 99.00 99.00 999 1023.6  23.2  22.4 999.0 99.0 99.00
2005 01 01 13 00  55  7.5  8.3 99.00 99.00 99.00 999 1024.7  21.4  22.4 999.0 99.0 99.00
2005 01 01 14 00  59  8.3  9.6 99.00 99.00 99.00 999 1025.3  21.4  22.6 999.0 99.0 99.00
2005 01 01 15 00  60  9.4 10.8 99.00 99.00 99.00 999 1025.7  21.9  22.9 999.0 99.0 99.00
2005 01 01 16 00  68 10.5 11.6 99.00 99.00 99.00 999 1025.5  22.1  23.0 999.0 99.0 99.00
2005 01 01 17 00  65 10.0 11.1 99.00 99.00 99.00 999 1024.7  22.3  23.6 999.0 99.0 99.00
2005 01 01 18 00  62 10.1 11.5 99.00 99.00 99.00 999 1024.1  22.4  23.7 999.0 99.0 99.00
2005 01 01 19 00  70  9.1  9.9 99.00 99.00 99.00 999 1023.7  22.5  23.7 999.0 99.0 99.00
2005 01 01 20 00  69  9.9 11.0 99.00 99.00 99.00 999 1023.2  22.5  23.4 999.0 99.0 99.00
2005 01 01 21 00  65 10.5 11.0 99.00 99.00 99.00 999 1023.2  22.5  23.2 999.0 99.0 99.00
2005 01 01 22 00  65  9.7 11.1 99.00 99.00 99.00 999 1023.3  22.4  22.9 999.0 99.0 99.00
2005 01 01 23 00  64 10.0 11.2 99.00 99.00 99.00 999 1023.5  22.3  22.1 999.0 99.0 99.00
2005 01 02 00 00  55  8.9  9.7 99.00 99.00 99.00 999 1024.1  22.2  21.8 999.0 99.0 99.00
2005 01 02 01 00  59 10.0 11.0 99.00 99.00 99.00 999 1024.4  22.1  22.8 999.0 99.0 99.00
2005 01 02 02 00  64  8.6 10.0 99.00 99.00 99.00 999 1024.6  22.0  23.2 999.0 99.0 99.00
2005 01 02 03 00  58  9.5 10.9 99.00 99.00 99.00 999 1024.6  22.0  23.2 999.0 99.0 99.00
2005 01 02 04 00  55  7.4  8.3 99.00 99.00 99.00 999 1024.9  21.8  23.6 999.0 99.0 99.00
2005 01 02 05 00  57  8.0  9.4 99.00 99.00 99.00 999 1024.1  22.0  23.6 999.0 99.0 99.00
2005 01 02 06 00  88 10.5 11.7 99.00 99.00 99.00 999 1023.7  23.4  23.8 999.0 99.0 99.00
2005 01 02 07 00  98 10.7 11.9 99.00 99.00 99.00 999 1023.4  23.3  24.1 999.0 99.0 99.00
