YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 01 21 00  41  0.4  2.8 99.00 99.00 99.00 999 1018.3  21.5  64.4 999.0 99.0 99.00
2005 02 01 21 18  36  1.9  3.1 99.00 99.00 99.00 999 1018.3  21.9 999.0 999.0 99.0 99.00
2005 02 01 21 24  39  0.9  2.7 99.00 99.00 99.00 999 1018.4  21.8 999.0 999.0 99.0 99.00
2005 02 01 21 30  41  0.4  2.8 99.00 99.00 99.00 999 1018.3  22.1 999.0 999.0 99.0 99.00
2005 02 01 21 36  28  0.4  2.2 99.00 99.00 99.00 999 1018.7  22.1 999.0 999.0 99.0 99.00
2005 02 01 21 48  37  0.9  2.5 99.00 99.00 99.00 999 1018.8  22.0 999.0 999.0 99.0 99.00
2005 02 01 21 54  34  0.7  2.9 99.00 99.00 99.00 999 1018.9  21.8 999.0 999.0 99.0 99.00
2005 02 01 22 00  45  0.9  2.8 99.00 99.00 99.00 999 1018.8  21.8  64.5 999.0 99.0 99.00
2005 02 01 22 06  46  0.5  2.5 99.00 99.00 99.00 999 1019.1  21.7 999.0 999.0 99.0 99.00
2005 02 01 22 18  36  1.1  2.6 99.00 99.00 99.00 999 1019.2  21.4 999.0 999.0 99.0 99.00
2005 02 01 22 24  44  0.3  2.6 99.00 99.00 99.00 999 1019.2  21.5 999.0 999.0 99.0 99.00
2005 02 01 22 30  45  0.9  2.8 99.00 99.00 99.00 999 1019.1  21.3 999.0 999.0 99.0 99.00
2005 02 01 22 36  51  2.2  3.3 99.00 99.00 99.00 999 1019.3  20.8 999.0 999.0 99.0 99.00
2005 02 01 22 42  66  0.1  3.0 99.00 99.00 99.00 999 1019.3  20.6 999.0 999.0 99.0 99.00
2005 02 01 22 48  73  0.4  2.1 99.00 99.00 99.00 999 1019.2  20.2 999.0 999.0 99.0 99.00
2005 02 01 22 54  72  0.7  2.4 99.00 99.00 99.00 999 1019.2  19.9 999.0 999.0 99.0 99.00
2005 02 01 23 00  76  2.3  3.0 99.00 99.00 99.00 999 1019.4  19.5  64.3 999.0 99.0 99.00
2005 02 01 23 06  62  0.3  2.2 99.00 99.00 99.00 999 1019.6  19.2 999.0 999.0 99.0 99.00
2005 02 01 23 18  62  0.1  2.4 99.00 99.00 99.00 999 1019.7  18.9 999.0 999.0 99.0 99.00
