YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00  75 10.2 11.2 99.00 99.00 99.00 999 1024.5  23.0 999.0  19.1 99.0  0.48
2005 01 01 01 00  85 13.1 14.0 99.00 99.00 99.00 999 1024.7  23.4 999.0  17.8 99.0  0.72
2005 01 01 02 00  96 10.6 11.5 99.00 99.00 99.00 999 1025.0  23.2 999.0  18.4 99.0  0.94
2005 01 01 03 00  87 13.3 14.0 99.00 99.00 99.00 999 1025.0  23.4 999.0  18.8 99.0  1.18
2005 01 01 04 00  99 13.3 14.7 99.00 99.00 99.00 999 1025.2  23.4 999.0  18.9 99.0  1.36
2005 01 01 05 00 101 14.5 15.6 99.00 99.00 99.00 999 1024.9  23.2 999.0  17.3 99.0  1.42
2005 01 01 06 00 103 13.6 14.6 99.00 99.00 99.00 999 1024.4  23.4 999.0  17.8 99.0  1.35
2005 01 01 07 00  97 13.0 13.7 99.00 99.00 99.00 999 1024.1  23.3 999.0  17.1 99.0  1.15
2005 01 01 08 00 106 12.7 14.1 99.00 99.00 99.00 999 1023.6  23.2 999.0  17.2 99.0  0.80
2005 01 01 09 00  91 10.0 11.4 99.00 99.00 99.00 999 1023.6  23.1 999.0  18.3 99.0  0.48
2005 01 01 10 00  87  9.6 10.5 99.00 99.00 99.00 999 1023.6  23.3 999.0  17.4 99.0  0.16
2005 01 01 11 00  87 10.8 11.3 99.00 99.00 99.00 999 1023.9  23.4 999.0  16.2 99.0 -0.02
2005 01 01 12 00  87 11.0 11.5 99.00 99.00 99.00 999 1024.7  23.4 999.0  16.4 99.0 -0.03
2005 01 01 13 00  86 11.1 11.7 99.00 99.00 99.00 999 1025.6  23.4 999.0  16.0 99.0  0.13
2005 01 01 14 00  79 10.5 11.4 99.00 99.00 99.00 999 1026.5  22.4 999.0  16.3 99.0  0.39
2005 01 01 15 00  56  7.6  8.0 99.00 99.00 99.00 999 1026.9  21.9 999.0  17.8 99.0  0.66
2005 01 01 16 00  82 10.8 11.4 99.00 99.00 99.00 999 1026.6  23.5 999.0  17.3 99.0  1.02
2005 01 01 17 00  78 11.4 11.8 99.00 99.00 99.00 999 1025.9  23.5 999.0  17.0 99.0  1.20
2005 01 01 18 00  79 11.6 13.2 99.00 99.00 99.00 999 1025.1  23.5 999.0  17.4 99.0  1.23
2005 01 01 19 00  82 11.7 12.5 99.00 99.00 99.00 999 1024.7  23.5 999.0  16.9 99.0  1.13
2005 01 01 20 00  69 10.0 11.0 99.00 99.00 99.00 999 1024.6  23.6 999.0  17.0 99.0  0.94
2005 01 01 21 00  78 10.3 11.7 99.00 99.00 99.00 999 1024.3  23.5 999.0  18.1 99.0  0.74
2005 01 01 22 00  71 11.5 12.1 99.00 99.00 99.00 999 1024.5  23.3 999.0  17.7 99.0  0.50
2005 01 01 23 00  69 12.6 13.4 99.00 99.00 99.00 999 1024.7  23.1 999.0  17.8 99.0  0.42
2005 01 02 00 00  75 12.3 13.0 99.00 99.00 99.00 999 1025.1  23.0 999.0  17.6 99.0  0.42
2005 01 02 01 00  69 10.4 11.1 99.00 99.00 99.00 999 1025.5  23.1 999.0  18.3 99.0  0.57
2005 01 02 02 00  75 10.7 11.3 99.00 99.00 99.00 999 1025.6  23.2 999.0  18.4 99.0  0.78
2005 01 02 03 00  98 12.9 13.8 99.00 99.00 99.00 999 1025.4  23.5 999.0  18.0 99.0  1.06
2005 01 02 04 00  90 12.7 14.0 99.00 99.00 99.00 999 1025.5  23.5 999.0  17.6 99.0  1.29
2005 01 02 05 00  91 13.7 15.0 99.00 99.00 99.00 999 1025.1  23.2 999.0  16.6 99.0  1.43
2005 01 02 06 00  91 12.5 13.1 99.00 99.00 99.00 999 1024.8  23.2 999.0  14.8 99.0  1.49
2005 01 02 07 00  94 12.2 13.2 99.00 99.00 99.00 999 1024.6  23.1 999.0  14.8 99.0  1.38
2005 01 02 08 00  97 12.5 13.4 99.00 99.00 99.00 999 1024.1  23.0 999.0  14.5 99.0  1.20
2005 01 02 09 00  89 11.0 11.6 99.00 99.00 99.00 999 1024.6  22.9 999.0  13.7 99.0  0.86
2005 01 02 10 00  90 10.2 10.9 99.00 99.00 99.00 999 1024.9  23.0 999.0  14.1 99.0  0.55
2005 01 02 11 00  88 10.8 11.4 99.00 99.00 99.00 999 1025.2  23.2 999.0  14.3 99.0  0.32
2005 01 02 12 00  89 10.3 11.0 99.00 99.00 99.00 999 1025.2  23.0 999.0  16.4 99.0  0.22
2005 01 02 13 00  85 11.1 12.0 99.00 99.00 99.00 999 1025.8  23.1 999.0  15.7 99.0  0.28
2005 01 02 14 00  73  9.2  9.8 99.00 99.00 99.00 999 1026.6  23.2 999.0  17.1 99.0  0.51
2005 01 02 15 00  33  7.0  7.7 99.00 99.00 99.00 999 1027.3  21.7 999.0  17.9 99.0  0.77
2005 01 02 16 00  82 10.2 10.8 99.00 99.00 99.00 999 1027.3  23.6 999.0  16.5 99.0  1.06
2005 01 02 17 00  79 11.3 11.9 99.00 99.00 99.00 999 1026.3  23.3 999.0  16.4 99.0  1.27
2005 01 02 18 00  75 10.7 12.0 99.00 99.00 99.00 999 1025.5  23.4 999.0  16.6 99.0  1.37
2005 01 02 19 00  59 10.4 11.2 99.00 99.00 99.00 999 1024.9  22.7 999.0  18.3 99.0  1.39
2005 01 02 20 00  58 10.8 11.7 99.00 99.00 99.00 999 1024.6  22.6 999.0  17.9 99.0  1.27
2005 01 02 21 00  58 11.3 12.5 99.00 99.00 99.00 999 1024.8  22.6 999.0  17.6 99.0  1.06
2005 01 02 22 00  59 10.5 11.3 99.00 99.00 99.00 999 1024.9  22.5 999.0  17.8 99.0  0.85
2005 01 02 23 00  65 10.0 11.2 99.00 99.00 99.00 999 1024.8  22.5 999.0  18.4 99.0  0.61
2005 01 03 00 00  66  8.6 10.4 99.00 99.00 99.00 999 1025.5  22.2 999.0  18.2 99.0  0.45
2005 01 03 01 00  55 11.0 12.0 99.00 99.00 99.00 999 1025.8  22.3 999.0  17.3 99.0  0.42
2005 01 03 02 00  62 12.7 14.1 99.00 99.00 99.00 999 1026.1  22.1 999.0  17.7 99.0  0.53
2005 01 03 03 00  52 11.7 12.3 99.00 99.00 99.00 999 1026.3  22.4 999.0  17.1 99.0  0.77
2005 01 03 04 00  79 13.8 14.5 99.00 99.00 99.00 999 1026.0  23.0 999.0  17.0 99.0  0.98
2005 01 03 05 00  74 13.5 14.0 99.00 99.00 99.00 999 1025.7  23.0 999.0  16.0 99.0  1.20
2005 01 03 06 00  72 12.7 13.4 99.00 99.00 99.00 999 1025.5  22.8 999.0  16.4 99.0  1.31
2005 01 03 07 00  71 12.3 13.2 99.00 99.00 99.00 999 1025.2  22.8 999.0  16.6 99.0  1.34
2005 01 03 08 00  70 11.3 12.1 99.00 99.00 99.00 999 1024.9  22.8 999.0  16.2 99.0  1.26
2005 01 03 09 00  67 11.1 12.3 99.00 99.00 99.00 999 1025.1  22.7 999.0  15.9 99.0  1.03
2005 01 03 10 00  61  8.4  9.5 99.00 99.00 99.00 999 1024.9  22.3 999.0  17.1 99.0  0.77
2005 01 03 11 00  51  8.4  8.9 99.00 99.00 99.00 999 1025.1  21.8 999.0  16.9 99.0  0.51
2005 01 03 12 00  38  7.6  8.1 99.00 99.00 99.00 999 1025.7  21.1 999.0  18.1 99.0  0.30
2005 01 03 13 00  45  8.5  9.5 99.00 99.00 99.00 999 1026.1  21.3 999.0  17.5 99.0  0.22
2005 01 03 14 00  51  8.4  9.5 99.00 99.00 99.00 999 1026.5  21.6 999.0  16.8 99.0  0.32
2005 01 03 15 00  54  8.1  9.0 99.00 99.00 99.00 999 1026.6  21.9 999.0  16.8 99.0  0.53
2005 01 03 16 00  41  7.1  7.6 99.00 99.00 99.00 999 1026.4  21.5 999.0  17.7 99.0  0.77
2005 01 03 17 00  84 11.1 11.9 99.00 99.00 99.00 999 1025.4  22.9 999.0  16.9 99.0  1.08
2005 01 03 18 00  69  9.6 11.0 99.00 99.00 99.00 999 1024.2  23.0 999.0  17.3 99.0  1.27
2005 01 03 19 00  60  9.3 10.5 99.00 99.00 99.00 999 1023.4  22.6 999.0  17.3 99.0  1.41
2005 01 03 20 00  71 11.0 11.6 99.00 99.00 99.00 999 1023.1  23.1 999.0  17.2 99.0  1.38
2005 01 03 21 00  56  9.3 10.4 99.00 99.00 99.00 999 1023.1  22.5 999.0  18.0 99.0  1.24
2005 01 03 22 00  56  9.5 10.1 99.00 99.00 99.00 999 1023.2  22.3 999.0  18.7 99.0  1.02
2005 01 03 23 00  55 11.5 12.6 99.00 99.00 99.00 999 1023.5  22.3 999.0  18.5 99.0  0.78
2005 01 04 00 00  53 12.4 13.6 99.00 99.00 99.00 999 1024.2  22.3 999.0  18.4 99.0  0.49
2005 01 04 01 00  45 10.0 11.0 99.00 99.00 99.00 999 1025.0  22.2 999.0  18.5 99.0  0.28
2005 01 04 02 00  46  9.4 10.2 99.00 99.00 99.00 999 1025.4  22.3 999.0  18.8 99.0  0.25
2005 01 04 03 00  51  8.8  9.3 99.00 99.00 99.00 999 1025.4  22.2 999.0  18.9 99.0  0.37
2005 01 04 04 00  54  8.3  8.9 99.00 99.00 99.00 999 1025.2  22.0 999.0  19.2 99.0  0.55
2005 01 04 05 00  86 12.9 13.5 99.00 99.00 99.00 999 1024.3  22.7 999.0  17.1 99.0  0.81
2005 01 04 06 00  80 11.2 11.6 99.00 99.00 99.00 999 1023.7  22.9 999.0  18.3 99.0  1.06
2005 01 04 07 00  85 11.4 12.1 99.00 99.00 99.00 999 1023.5  23.0 999.0  17.6 99.0  1.21
2005 01 04 08 00  82  9.9 10.4 99.00 99.00 99.00 999 1023.2  23.0 999.0  18.4 99.0  1.26
2005 01 04 09 00  84  9.3 10.1 99.00 99.00 99.00 999 1023.1  23.0 999.0  17.6 99.0  1.16
2005 01 04 10 00  36  7.3  7.9 99.00 99.00 99.00 999 1023.1  21.5 999.0  19.6 99.0  0.98
2005 01 04 11 00  50  6.7  7.7 99.00 99.00 99.00 999 1023.6  21.5 999.0  19.5 99.0  0.76
2005 01 04 12 00  47  7.4  8.3 99.00 99.00 99.00 999 1023.7  21.7 999.0  19.5 99.0  0.58
2005 01 04 13 00  70  9.4 10.3 99.00 99.00 99.00 999 1024.3  22.8 999.0  19.2 99.0  0.40
2005 01 04 14 00  88 11.8 12.1 99.00 99.00 99.00 999 1024.9  22.8 999.0  18.0 99.0  0.37
2005 01 04 15 00  77  9.9 10.7 99.00 99.00 99.00 999 1025.3  23.2 999.0  18.8 99.0  0.46
2005 01 04 16 00  77  9.0  9.6 99.00 99.00 99.00 999 1025.3  23.7 999.0  17.8 99.0  0.67
2005 01 04 17 00  81  6.8  7.5 99.00 99.00 99.00 999 1025.0  21.6 999.0  18.5 99.0  0.91
2005 01 04 18 00  84  9.9 10.4 99.00 99.00 99.00 999 1023.8  23.6 999.0  18.4 99.0  1.18
2005 01 04 19 00  80  9.8 10.4 99.00 99.00 99.00 999 1022.7  23.6 999.0  18.2 99.0  1.36
2005 01 04 20 00  85  9.6 10.2 99.00 99.00 99.00 999 1022.1  23.7 999.0  18.7 99.0  1.46
