YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 02 01 21 00 325  5.5  7.2 99.00 99.00 99.00 999 1017.7  21.1  50.8 999.0 99.0 99.00
2005 02 01 22 00 325  5.6  7.6 99.00 99.00 99.00 999 1018.0  21.2  51.4 999.0 99.0 99.00
2005 02 01 23 00 326  5.0  8.4 99.00 99.00 99.00 999 1017.8  20.9  53.5 999.0 99.0 99.00
2005 02 02 00 00 325  4.6  7.5 99.00 99.00 99.00 999 1018.5  20.9  50.3 999.0 99.0 99.00
2005 02 02 02 00 325  4.6  7.8 99.00 99.00 99.00 999 1020.0  20.8  51.1 999.0 99.0 99.00
2005 02 02 03 00 325  4.6  6.8 99.00 99.00 99.00 999 1020.3  20.8  50.7 999.0 99.0 99.00
2005 02 02 04 00 325  5.2  7.4 99.00 99.00 99.00 999 1020.6  20.6  51.9 999.0 99.0 99.00
2005 02 02 05 00 326  4.5  7.4 99.00 99.00 99.00 999 1020.2  20.6  52.7 999.0 99.0 99.00
2005 02 02 06 00 328  3.9  6.8 99.00 99.00 99.00 999 1019.5  20.3  50.0 999.0 99.0 99.00
2005 02 02 07 00 326  4.0  6.4 99.00 99.00 99.00 999 1018.8  20.0  49.6 999.0 99.0 99.00
2005 02 02 08 00 324  4.7  7.2 99.00 99.00 99.00 999 1018.5  20.2  50.4 999.0 99.0 99.00
2005 02 02 09 00 326  2.3  6.8 99.00 99.00 99.00 999 1018.5  20.0  50.6 999.0 99.0 99.00
2005 02 02 10 00 337  4.4  6.1 99.00 99.00 99.00 999 1018.4  20.1  51.8 999.0 99.0 99.00
2005 02 02 11 00 325  5.4  7.1 99.00 99.00 99.00 999 1018.4  19.6  51.0 999.0 99.0 99.00
2005 02 02 12 00 324  4.7  6.8 99.00 99.00 99.00 999 1019.0  19.6  48.3 999.0 99.0 99.00
2005 02 02 14 00 342  4.1  6.0 99.00 99.00 99.00 999 1020.1  20.0  50.6 999.0 99.0 99.00
2005 02 02 15 00 344  4.2  6.1 99.00 99.00 99.00 999 1020.3  19.4  50.6 999.0 99.0 99.00
2005 02 02 16 00 327  3.7  5.3 99.00 99.00 99.00 999 1020.5  19.7  51.5 999.0 99.0 99.00
2005 02 02 17 00 331  4.1  5.3 99.00 99.00 99.00 999 1019.5  20.2  51.8 999.0 99.0 99.00
2005 02 02 18 00 326  3.6  6.9 99.00 99.00 99.00 999 1018.7  23.0  50.8 999.0 99.0 99.00
