ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
02668AD35674B983,docked_bike,5/27/2020 10:03,5/27/2020 10:16,Franklin St & Jackson Blvd,36,Wabash Ave & Grand Ave,199,41.8777,-87.6353,41.8915,-87.6268,member
7A50CCAF1EDDB28F,docked_bike,5/25/2020 10:47,5/25/2020 11:05,Clark St & Wrightwood Ave,340,Clark St & Leland Ave,326,41.9295,-87.6431,41.9671,-87.6674,casual
2FFCDFDB91FE9A52,docked_bike,5/2/2020 14:11,5/2/2020 15:48,Kedzie Ave & Milwaukee Ave,260,Kedzie Ave & Milwaukee Ave,260,41.9296,-87.7079,41.9296,-87.7079,casual
58991CF1DB75BA84,docked_bike,5/2/2020 16:25,5/2/2020 16:39,Clarendon Ave & Leland Ave,251,Lake Shore Dr & Wellington Ave,157,41.968,-87.65,41.9367,-87.6368,casual
A79651EFECC268CD,docked_bike,5/29/2020 12:49,5/29/2020 13:27,Hermitage Ave & Polk St,261,Halsted St & Archer Ave,206,41.8715,-87.6699,41.8472,-87.6468,member
1466C5B39F68F746,docked_bike,5/29/2020 13:27,5/29/2020 14:14,Halsted St & Archer Ave,206,May St & Taylor St,22,41.8472,-87.6468,41.8695,-87.6555,member
2500D7957D4D0A34,docked_bike,5/20/2020 12:51,5/20/2020 13:46,Hermitage Ave & Polk St,261,Hermitage Ave & Polk St,261,41.8715,-87.6699,41.8715,-87.6699,member
ED42D3E06AFB2F26,docked_bike,5/6/2020 18:21,5/6/2020 19:07,Ritchie Ct & Banks St,180,Ritchie Ct & Banks St,180,41.9069,-87.6262,41.9069,-87.6262,casual
23AFBD962F9C8F14,docked_bike,5/30/2020 17:00,5/30/2020 17:19,Halsted St & Clybourn Ave,331,Broadway & Barry Ave,300,41.9097,-87.6481,41.9377,-87.6441,casual
52C0D13F6B81C5F8,docked_bike,5/23/2020 10:22,5/23/2020 10:52,Den Ave & Cortland St,219,Western Ave & Division St,305,41.916,-87.6773,41.9029,-87.6873,casual
DF3BE94DF2CB082E,docked_bike,5/28/2020 14:29,5/28/2020 14:43,Fairbanks Ct & Grand Ave,24,Mies van der Rohe Way & Chestnut St,145,41.8918,-87.6206,41.8986,-87.6219,casual
6AA701EBA46EAF9A,docked_bike,5/24/2020 8:39,5/24/2020 8:58,Canal St & Ads St,192,Indiana Ave & Roosevelt Rd,255,41.8793,-87.6399,41.8679,-87.623,member
038955FBD4851472,docked_bike,5/14/2020 14:11,5/14/2020 14:36,Lake Shore Dr & Ohio St,99,Lake Shore Dr & North Blvd,268,41.8926,-87.6145,41.9117,-87.6268,casual
EFCEDBAE75A0B979,docked_bike,5/3/2020 17:34,5/3/2020 18:03,Ravenswood Ave & Irving Park Rd,244,Ravenswood Ave & Irving Park Rd,244,41.9547,-87.6739,41.9547,-87.6739,casual
9FBED98B4D057FA5,docked_bike,5/25/2020 17:32,5/25/2020 18:04,McClurg Ct & Illinois St,26,Western Ave & Division St,305,41.8904,-87.6175,41.9029,-87.6873,member
9D3F29466533D0A9,docked_bike,5/2/2020 20:48,5/2/2020 21:06,Sheffield Ave & Fullerton Ave,67,Orleans St & Chestnut St (NEXT Apts),620,41.9256,-87.6537,41.8982,-87.6375,casual
197085F3EC7F5508,docked_bike,5/28/2020 17:40,5/28/2020 18:06,Ashland Ave & Belle Plaine Ave,246,Southport Ave & Roscoe St,229,41.9561,-87.6688,41.9437,-87.664,casual
CDAEA6AC2DEDF077,docked_bike,5/25/2020 16:23,5/25/2020 16:46,Western Ave & Division St,305,McClurg Ct & Illinois St,26,41.9029,-87.6873,41.8904,-87.6175,member
F08F293EE3E9926C,docked_bike,5/24/2020 16:35,5/24/2020 17:17,Sheridan Rd & Greenleaf Ave,354,Sheridan Rd & Noyes St (NU),604,42.0106,-87.6624,42.0582,-87.6774,casual
D2E7A5E49114E3A7,docked_bike,5/29/2020 10:26,5/29/2020 11:23,University Library (NU),605,University Library (NU),605,42.0529,-87.6734,42.0529,-87.6734,casual
73FB492713920CD8,docked_bike,5/10/2020 12:11,5/10/2020 12:19,Michigan Ave & 18th St,273,Wabash Ave & 9th St,321,41.8578,-87.6246,41.8708,-87.6257,casual
A6AC55B3C3957A3B,docked_bike,5/28/2020 14:42,5/28/2020 15:42,Clark St & Winnemac Ave,325,Wilton Ave & Belmont Ave,117,41.9733,-87.6678,41.9402,-87.653,casual
D65525AE7294BE5F,docked_bike,5/13/2020 10:29,5/13/2020 11:00,Cityfront Plaza Dr & Pioneer Ct,196,Milwaukee Ave & Grand Ave,84,41.8906,-87.6221,41.8916,-87.6484,casual
B4490D19A564642A,docked_bike,5/30/2020 11:40,5/30/2020 12:05,South Shore Dr & 67th St,355,Lake Park Ave & 53rd St,419,41.7736,-87.5675,41.7995,-87.5864,casual
5A5EEB72531874A3,docked_bike,5/6/2020 12:41,5/6/2020 13:08,Larrabee St & Armitage Ave,288,Cannon Dr & Fullerton Ave,34,41.9181,-87.6437,41.9268,-87.6344,casual
F8181224F6405C3B,docked_bike,5/26/2020 18:57,5/26/2020 19:30,Wentworth Ave & Cermak Rd (Temp),120,Wentworth Ave & Cermak Rd (Temp),120,41.853,-87.6306,41.853,-87.6306,casual
33EA7C57267B1D42,docked_bike,5/20/2020 18:48,5/20/2020 19:13,Southport Ave & Irving Park Rd,318,Pine Grove Ave & Waveland Ave,232,41.9542,-87.6644,41.9493,-87.6463,member
08500FD7F713534E,docked_bike,5/16/2020 16:23,5/16/2020 17:42,Lincoln Ave & Winona St,472,Lincoln Ave & Winona St,472,41.9749,-87.6925,41.9749,-87.6925,member
CFD32C903045E9B9,docked_bike,5/30/2020 13:56,5/30/2020 14:08,Lincoln Ave & Belle Plaine Ave,298,Washtenaw Ave & Lawrence Ave,475,41.956,-87.6803,41.969,-87.696,casual
15E9545916C0A70D,docked_bike,5/1/2020 15:32,5/1/2020 15:45,Lincolnwood Dr & Central St,663,Central St & Girard Ave,602,42.0649,-87.7153,42.0643,-87.6862,member
E64F4FE8C02FC54E,docked_bike,5/3/2020 15:00,5/3/2020 15:32,Broadway & Ridge Ave,461,Glenwood Ave & Touhy Ave,525,41.984,-87.6603,42.0127,-87.6661,casual
D96371F35A485696,docked_bike,5/1/2020 15:47,5/1/2020 16:02,Central St & Girard Ave,602,Chicago Ave & Sheridan Rd,603,42.0643,-87.6862,42.0505,-87.6778,member
7E112E290DCD4F6C,docked_bike,5/2/2020 20:48,5/2/2020 21:38,Wabash Ave & 83rd St,587,Indiana Ave & 40th St,201,41.7433,-87.6228,41.8217,-87.6216,casual
4862102063FCE165,docked_bike,5/20/2020 18:19,5/20/2020 18:43,Sheffield Ave & Wellington Ave,115,Den Ave & Pierce Ave,69,41.9363,-87.6527,41.9094,-87.6777,member
B803FBA7A77D41A3,docked_bike,5/27/2020 20:34,5/27/2020 20:57,Den Ave & Pierce Ave,69,Sheffield Ave & Wellington Ave,115,41.9094,-87.6777,41.9363,-87.6527,member
A80F390E173B72EA,docked_bike,5/20/2020 20:18,5/20/2020 20:19,Den Ave & Pierce Ave,69,Den Ave & Pierce Ave,69,41.9094,-87.6777,41.9094,-87.6777,member
4267A0BB80680713,docked_bike,5/28/2020 19:02,5/28/2020 19:08,Sheffield Ave & Wellington Ave,115,Ashland Ave & Wellington Ave,250,41.9363,-87.6527,41.9361,-87.6698,member
1B8CF206CF4A3731,docked_bike,5/2/2020 18:09,5/2/2020 18:18,Morgan St & 18th St,14,Emerald Ave & 31st St,339,41.8581,-87.6511,41.8382,-87.6451,member
578742018FA77B2A,docked_bike,5/8/2020 20:03,5/8/2020 20:12,Morgan St & 18th St,14,Emerald Ave & 31st St,339,41.8581,-87.6511,41.8382,-87.6451,member
9E5E4A56B7191D32,docked_bike,5/8/2020 17:56,5/8/2020 18:02,May St & Taylor St,22,Racine Ave & 18th St,15,41.8695,-87.6555,41.8582,-87.6565,member
697B81BD60E138A2,docked_bike,5/8/2020 17:47,5/8/2020 17:53,Racine Ave & 18th St,15,May St & Taylor St,22,41.8582,-87.6565,41.8695,-87.6555,member
D494B0B04EEC3D77,docked_bike,5/3/2020 13:44,5/3/2020 13:50,Throop (Loomis) St & Taylor St,19,Racine Ave & 18th St,15,41.869,-87.6591,41.8582,-87.6565,member
0A082D5DB3C57404,docked_bike,5/1/2020 17:55,5/1/2020 18:04,Morgan St & 18th St,14,Emerald Ave & 31st St,339,41.8581,-87.6511,41.8382,-87.6451,member
985344F66F90A1D3,docked_bike,5/2/2020 6:46,5/2/2020 6:55,Morgan St & 18th St,14,Emerald Ave & 31st St,339,41.8581,-87.6511,41.8382,-87.6451,member
CF863DD57C961CBA,docked_bike,5/13/2020 18:29,5/13/2020 19:03,Sheffield Ave & Wellington Ave,115,Larrabee St & Webster Ave,144,41.9363,-87.6527,41.9218,-87.6441,member
453FCC9C56899771,docked_bike,5/3/2020 11:37,5/3/2020 11:58,Lake Shore Dr & Wellington Ave,157,Rush St & Cedar St,172,41.9367,-87.6368,41.9023,-87.6277,member
28F3C48900B69E85,docked_bike,5/16/2020 19:29,5/16/2020 19:31,LaSalle St & Illinois St,181,Dearborn St & Erie St,110,41.8908,-87.6317,41.894,-87.6293,member
75C885AC4407F508,docked_bike,5/10/2020 14:44,5/10/2020 14:56,Sheffield Ave & Wellington Ave,115,Sheffield Ave & Wellington Ave,115,41.9363,-87.6527,41.9363,-87.6527,member
54C18CE7236AF98F,docked_bike,5/28/2020 14:28,5/28/2020 14:31,LaSalle St & Illinois St,181,Dearborn St & Erie St,110,41.8908,-87.6317,41.894,-87.6293,member
